date,animal,supplement,weight
20230314,m26,restrained_4%CA,30.2
20230314,m27,restrained_4%CA,30.2
20230314,m29,restrained_4%CA,29.7
20230314,m30,restrained_4%CA,26.4
20230314,m33,restrained_4%CA,27.1
20230315,m20,restrained_4%CA,28.0
20230315,m21,restrained_4%CA,26.5
20230315,m22,restrained_4%CA,26.2
20230315,m23,restrained_4%CA,30.9
20230315,m24,restrained_4%CA,27.6
20230315,m25,restrained_4%CA,27.4
20230315,m26,restrained_4%CA,28.7
20230315,m27,restrained_4%CA,28.7
20230315,m29,restrained_4%CA,28.0
20230315,m30,restrained_4%CA,25.1
20230315,m33,restrained_4%CA,25.8
20230316,m20,restrained_4%CA,26.9
20230316,m21,restrained_4%CA,25.4
20230316,m22,restrained_4%CA,25.1
20230316,m23,restrained_4%CA,29.2
20230316,m24,restrained_4%CA,26.4
20230316,m25,restrained_4%CA,26.2
20230317,m20,restrained_4%CA,28.0
20230317,m21,restrained_4%CA,27.1
20230317,m22,restrained_4%CA,26.3
20230317,m23,restrained_4%CA,30.8
20230317,m24,restrained_4%CA,27.4
20230317,m25,restrained_4%CA,27.8
20230317,m26,restrained_4%CA,27.7
20230317,m27,restrained_4%CA,28.3
20230317,m29,restrained_4%CA,27.4
20230317,m30,restrained_4%CA,24.2
20230318,m20,restrained_4%CA,27.1
20230318,m21,restrained_4%CA,26.0
20230318,m22,restrained_4%CA,25.1
20230318,m23,restrained_4%CA,29.0
20230318,m24,restrained_4%CA,25.8
20230318,m25,restrained_4%CA,26.2
20230318,m26,restrained_4%CA,28.7
20230318,m27,restrained_4%CA,28.2
20230318,m29,restrained_4%CA,28.6
20230318,m30,restrained_4%CA,25.2
20230319,m20,restrained_4%CA,27.9
20230319,m21,restrained_4%CA,26.9
20230319,m22,restrained_4%CA,26.1
20230319,m23,restrained_4%CA,30.7
20230319,m24,restrained_4%CA,27.9
20230319,m25,restrained_4%CA,27.5
20230319,m26,restrained_4%CA,27.4
20230319,m27,restrained_4%CA,27.5
20230319,m29,restrained_4%CA,27
20230319,m30,restrained_4%CA,24.1
20230320,m20,restrained_4%CA,26.5
20230320,m21,restrained_4%CA,25.6
20230320,m22,restrained_4%CA,24.3
20230320,m23,restrained_4%CA,28.9
20230320,m24,restrained_4%CA,26.3
20230320,m25,restrained_4%CA,26
20230320,m26,restrained_4%CA,29
20230320,m27,restrained_4%CA,29.5
20230320,m29,restrained_4%CA,27.6
20230320,m30,restrained_4%CA,25.1
20230320,m33,water,29.3
20230321,m20,restrained_4%CA,27.5
20230321,m21,restrained_4%CA,26.3
20230321,m22,restrained_4%CA,25.8
20230321,m23,restrained_4%CA,29.8
20230321,m24,restrained_4%CA,27.0
