date,animal,supplement,weight
20221011,m09,non-CA,32.5
20221011,m10,non-CA,35.4
20221011,m11,non-CA,32.2
20221011,m12,non-CA,32.5
20221011,m15,non-CA,32.6
20221011,m16,non-CA,35.4
20221012,m09,CA,27.7
20221012,m10,CA,30.3
20221012,m11,CA,28.2
20221012,m12,CA,29.0
20221012,m15,CA,28.9
20221012,m16,CA,31.9
20221013,m09,CA,26.5
20221013,m10,CA,28.8
20221013,m11,CA,27.0
20221013,m12,CA,27.7
20221013,m15,CA,27.5
20221013,m16,CA,30.3
20221014,m09,CA,25.5
20221014,m10,CA,28.2
20221014,m11,CA,25.7
20221014,m12,CA,26.6
20221014,m15,CA,26.2
20221014,m16,CA,28.9
20221015,m09,CA,28.2
20221015,m10,CA,30.7
20221015,m11,CA,27.2
20221015,m12,CA,28.2
20221015,m15,CA,27.2
20221015,m16,CA,28.5
20221016,m09,CA,28.3
20221016,m10,CA,30.7
20221016,m11,CA,27.0
20221016,m12,CA,28.0
20221016,m15,CA,27.5
20221016,m16,CA,27.8
20221017,m09,CA,28.0
20221017,m10,CA,30.8
20221017,m11,CA,27.0
20221017,m12,CA,27.8
20221017,m15,CA,27.5
20221017,m16,CA,27.7
20221018,m09,CA,27.9
20221018,m10,CA,30.5
20221018,m11,CA,27.4
20221018,m12,CA,27.6
20221018,m15,CA,27.4
20221018,m16,CA,28.2
20221019,m09,CA,28.3
20221019,m10,CA,30.2
20221019,m11,CA,26.8
20221019,m12,CA,27.6
20221019,m15,CA,27.6
20221019,m16,CA,28.3
20221020,m09,CA,27.7
20221020,m10,CA,29.4
20221020,m11,CA,26.9
20221020,m12,CA,27.4
20221020,m15,CA,27.9
20221020,m16,CA,28.3
20221022,m09,CA,27.6
20221022,m10,CA,30.2
20221022,m11,CA,27.7
20221022,m12,CA,27.0
20221022,m15,CA,27.9
20221022,m16,CA,28.7
20221024,m09,CA,28.2
20221024,m10,CA,31.6
20221024,m11,CA,28.0
20221024,m12,CA,28.0
20221024,m15,CA,28.4
20221024,m16,CA,28.5
20221026,m09,CA,29.4
20221026,m10,CA,31.8
20221026,m11,CA,27.7
20221026,m12,CA,28.2
20221026,m15,CA,28.0
20221026,m16,CA,28.3
20221028,m09,CA,30.0
20221028,m10,CA,32.0
20221028,m11,CA,27.4
20221028,m12,CA,27.4
20221028,m15,CA,27.1
20221028,m16,CA,27.6
20221030,m09,CA,29.9
20221030,m10,CA,30.8
20221030,m11,CA,27.4
20221030,m12,CA,27.8
20221030,m15,CA,27.0
20221030,m16,CA,27.7
20221101,m09,CA,29.4
20221101,m10,CA,31.5
20221101,m11,CA,28.0
20221101,m12,CA,27.9
20221101,m15,CA,27.6
20221101,m16,CA,28.3
20221103,m09,CA,30.2
20221103,m10,CA,30.6
20221103,m11,CA,27.8
20221103,m12,CA,27.4
20221103,m15,CA,27.4
20221103,m16,CA,28.3
20221105,m09,CA,30.8
20221105,m10,CA,32.1
20221105,m11,CA,28.2
20221105,m12,CA,28.0
20221105,m15,CA,27.9
20221105,m16,CA,28.9
20221107,m09,CA,31.3
20221107,m10,CA,32.0
20221107,m11,CA,28.3
20221107,m12,CA,27.5
20221107,m15,CA,28.2
20221107,m16,CA,28.8
20221109,m09,CA,30.2
20221109,m10,CA,30.9
20221109,m11,CA,28.0
20221109,m12,CA,27.3
20221109,m15,CA,28.0
20221109,m16,CA,28.8
