date,time,type,animal,name,analyze,data,comment
20221026,15:38,recording,m11,rec4,True,m11/2022_10_26/15_38_25,
20221026,15:07,recording,m12,rec4,True,m12/2022_10_26/16_07_19,
20221026,16:34,recording,m15,rec4,True,m15/2022_10_26/16_34_40,
20221026,17:06,recording,m16,rec4,True,m16/2022_10_26/17_06_04,
20221028,14:44,recording,m09,rec5,True,m09/2022_10_28/14_44_17,
20221028,15:15,recording,m10,rec5,True,m10/2022_10_28/15_15_41,
20221028,15:43,recording,m11,rec5,True,m11/2022_10_28/15_43_50,
20221028,16:12,recording,m12,rec5,True,m12/2022_10_28/16_12_50,
20221028,16:48,recording,m15,rec5,True,m15/2022_10_28/16_48_34,
20221028,17:16,recording,m16,rec5,True,m16/2022_10_28/17_16_03,
